date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-12-10,16.46875,34.375,17.9065,,6.54175,5.958,0.0
2011-12-11,9.14575,15.4895,6.343999999999999,,4.88575,3.375,0.0
2011-12-12,15.415000000000001,28.557000000000002,13.141749999999998,,7.2395,4.5,0.273
2011-12-13,13.10425,24.66675,11.5625,,7.02075,4.875,0.125
2011-12-14,21.821,51.183,29.362000000000002,,11.781500000000001,8.957,0.75
2011-12-15,17.09375,38.094,21.0,,9.65625,6.833,1.042
2011-12-16,14.687249999999999,27.656,12.96875,,6.2605,4.792,0.0
2011-12-17,13.3545,22.73975,9.3855,,4.66675,3.458,0.042
2011-12-18,10.6145,17.34375,6.72925,,5.250249999999999,3.333,0.042
2011-12-19,16.23675,30.662,14.42525,,7.28125,4.583,0.0
2011-12-20,15.89325,31.54625,15.65325,,6.4645,5.304,0.0
2011-12-21,27.0825,54.59375,27.51125,,11.5055,6.435,0.25
2011-12-22,18.671,35.71875,17.04775,,10.88325,5.1,0.583
2011-12-23,5.0625,9.97925,4.91675,,4.687749999999999,2.5,0.458
2011-12-24,8.2605,14.030999999999999,5.771,,6.1145,2.917,0.5
2011-12-25,5.218500000000001,9.0935,3.875,,4.625249999999999,2.583,0.083
2011-12-26,11.6935,22.85325,11.159749999999999,,4.968999999999999,3.708,0.0
2011-12-27,10.5545,18.65225,8.097750000000001,,5.03975,3.652,0.0
2011-12-28,15.73875,30.648000000000003,14.9095,,6.896,4.609,0.0
2011-12-29,15.4895,27.677,12.1875,,9.5835,5.583,0.5
2011-12-30,5.2395,9.15625,3.91675,,6.354,2.708,0.417
2011-12-31,9.20825,15.146,5.937749999999999,,9.94775,4.375,1.292
2012-01-01,11.9375,19.16675,7.22925,,6.9585,4.667,0.167
2012-01-02,7.33875,11.4185,4.08025,,7.35425,3.652,0.625
2012-01-03,4.98975,8.48975,3.5,,5.13525,2.917,0.417
2012-01-04,3.448,6.385249999999999,2.9375,,5.250249999999999,2.125,0.0
2012-01-05,15.46875,26.41675,10.948,,6.46875,5.75,0.042
2012-01-06,8.8645,13.53125,4.66675,,7.63525,3.833,0.208
2012-01-07,12.630749999999999,20.03125,7.4005,,7.25,4.042,0.286
