date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2017-11-29,201.6455,97.0,78.27766666666666,50.0,40.021,32.403,66.93066666666667,34.528,25.625,1.542,34.361333333333334,181.0,111.69433333333332,57.333333333333336,241.66649999999998,3.333
2017-11-30,200.125,98.0,88.55533333333334,69.33333333333333,20.25,22.847333333333335,47.916666666666664,25.069333333333333,12.792,1.125,23.694333333333333,125.33333333333333,94.875,69.0,220.375,2.458
2017-12-01,197.52100000000002,98.0,89.68033333333334,76.33333333333333,10.0,17.486333333333334,39.138666666666666,21.652666666666665,5.583,1.0,10.166666666666666,92.0,74.097,55.666666666666664,207.5205,1.667
2017-12-02,199.83350000000002,96.33333333333333,75.125,42.666666666666664,13.2085,17.180666666666667,39.791666666666664,22.611333333333334,9.25,0.875,9.972,109.66666666666667,60.84733333333333,22.333333333333332,213.04149999999998,2.583
2017-12-03,203.8545,93.0,78.45833333333333,56.0,19.229,17.513666666666666,24.388666666666666,6.875,21.125,1.083,26.291666666666668,121.66666666666667,66.667,34.0,223.08350000000002,3.208
2017-12-04,203.875,96.0,84.59733333333334,64.0,27.7085,28.430666666666667,50.05566666666667,21.625,21.875,1.042,32.09733333333333,114.33333333333333,70.68066666666667,25.0,231.583,3.208
2017-12-05,200.5,99.0,70.52766666666666,41.333333333333336,25.863999999999997,26.33366666666667,54.71,28.376666666666665,11.25,1.13,16.277666666666665,137.66666666666666,79.5,28.0,226.3635,2.783
2017-12-06,197.625,90.33333333333333,67.87533333333333,38.666666666666664,10.625,18.902666666666665,39.291666666666664,20.388666666666666,5.125,1.125,7.75,105.66666666666667,55.458333333333336,12.333333333333334,208.25,1.958
2017-12-07,203.125,89.66666666666667,75.33333333333333,51.666666666666664,27.083,26.736333333333334,67.639,40.903,17.417,1.375,18.930666666666667,113.66666666666667,51.43066666666667,4.333333333333333,230.20850000000002,3.5
2017-12-08,205.79149999999998,96.33333333333333,85.66666666666667,71.66666666666667,27.8545,26.930666666666667,69.70833333333333,42.778,20.75,1.25,35.22233333333333,71.66666666666667,36.917,1.6666666666666667,233.64600000000002,3.417
2017-12-09,199.45850000000002,96.0,65.125,35.666666666666664,11.396,20.333333333333332,41.083333333333336,20.750333333333334,9.958,0.917,7.583666666666666,98.66666666666667,45.361333333333334,3.3333333333333335,210.85399999999998,2.917
2017-12-10,206.66649999999998,91.0,74.47233333333334,48.0,21.2085,20.902666666666665,30.361,9.458333333333334,20.333,1.208,23.222333333333335,115.33333333333333,46.333666666666666,-4.333333333333333,227.875,3.958
2017-12-11,203.33350000000002,92.33333333333333,62.722,34.0,20.1045,23.680666666666667,52.889,29.208333333333332,14.833,1.167,18.611333333333334,161.0,78.45866666666667,17.0,223.4375,3.583
2017-12-12,198.9565,65.66666666666667,42.90266666666667,23.333333333333332,15.9565,23.58,63.31900000000001,39.739,1.458,1.043,4.041666666666667,101.0,53.40266666666667,10.0,214.9135,1.826
2017-12-13,198.39600000000002,72.0,52.764,28.666666666666668,11.75,19.944333333333333,34.361,14.416666666666666,4.75,1.125,5.083666666666667,104.0,41.65266666666667,-2.6666666666666665,210.14600000000002,1.5
