date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-08-24,11.4836,20.891399999999997,9.4084,4.3855,,,195.417,4.042,13.25,208.667
2011-08-25,8.9,19.8834,10.9834,3.984375,,,186.625,3.0,11.0,197.625
2011-08-26,9.975,17.0166,7.0416,4.203125,,,192.292,2.625,11.75,204.042
2011-08-27,10.6354,15.553,4.9174,4.703125,,,187.087,2.583,11.0,198.087
2011-08-28,8.5916,10.7332,2.1418,4.797,,,189.083,3.083,11.792,200.875
2011-08-29,12.6738,19.305600000000002,6.6318,5.594,,,199.042,2.917,11.917,210.958
2011-08-30,15.447,20.346,4.8991999999999996,6.459,,,201.083,3.304,13.292,214.375
2011-08-31,16.1586,22.6916,6.533199999999999,6.0,,,191.696,3.625,15.0,206.696
2011-09-01,9.9748,19.7832,9.8082,3.901,,,182.542,3.0,10.375,192.917
2011-09-02,3.6834000000000002,7.058400000000001,3.3748000000000005,2.578125,,,179.75,2.0,9.708,189.458
2011-09-03,3.2165999999999997,4.5312,1.3144,2.44275,,,176.783,1.667,8.304,185.087
2011-09-04,5.0082,5.9832,0.975,5.687625000000001,,,180.3,2.125,11.25,191.55
2011-09-05,8.2962,10.925799999999999,2.6298000000000004,5.1526250000000005,,,184.25,2.375,10.792,195.042
2011-09-06,6.8,9.666599999999999,2.8666,5.01025,,,197.167,2.478,9.667,206.833
2011-09-07,12.3582,17.2168,4.8584000000000005,7.453125,,,201.875,3.25,13.625,215.5
2011-09-08,14.991800000000001,20.3666,5.3751999999999995,6.27075,,,200.522,3.75,13.957,214.478
2011-09-09,12.2584,17.7832,5.525,4.911375,,,196.208,3.167,14.167,210.375
2011-09-10,7.644800000000001,13.0994,5.4544,4.015625,,,196.208,3.0,11.792,208.0
2011-09-11,6.9168,13.216800000000001,6.3,4.81775,,,188.5,1.583,8.917,197.417
2011-09-12,10.013200000000001,16.747999999999998,6.7348,4.765625,,,191.565,2.625,10.783,202.348
2011-09-13,14.8216,20.8592,6.0376,6.057625,,,198.208,2.783,12.875,211.083
2011-09-14,15.053400000000002,20.271800000000002,5.2184,5.340375,,,199.792,2.583,12.25,212.042
2011-09-15,10.6,16.725,6.1251999999999995,5.130125,,,191.792,2.083,10.375,202.167
2011-09-16,9.3916,15.9334,6.5418,3.7811250000000003,,,180.826,3.292,11.435,192.261
2011-09-17,8.4222,14.434999999999999,6.013199999999999,3.156,,,183.667,3.292,11.375,195.042
2011-09-18,4.531000000000001,6.92725,2.396,3.427125,,,183.083,1.625,7.292,190.375
2011-09-19,4.97175,8.38975,3.41725,2.7135,,,193.583,2.667,12.333,205.917
2011-09-20,6.6134,10.8478,4.2344,2.06725,,,183.227,2.826,12.727,195.955
2011-09-21,4.9916,7.399800000000001,2.4084,2.3175,,,178.167,1.625,7.417,185.583
2011-09-22,6.425199999999999,9.7416,3.3165999999999998,3.52075,,,180.5,2.0,7.083,187.583
2011-09-23,5.7248,8.158199999999999,2.4332000000000003,4.11475,,,188.333,2.458,8.542,196.875
2011-09-24,8.1842,11.618,3.4335999999999998,4.177125,,,194.053,2.542,10.789,204.842
2011-09-25,11.05,14.1832,3.1334,4.656375,,,197.125,3.083,13.375,210.5
2011-09-26,15.505200000000002,21.897399999999998,6.3922,4.86175,,,194.042,3.542,15.708,209.75
2011-09-27,12.508199999999999,17.075200000000002,4.566599999999999,4.79675,,,204.458,3.087,14.292,218.75
2011-09-28,16.662799999999997,21.419,4.756,6.364625,,,199.217,3.083,15.391,214.609
2011-09-29,17.4418,24.875,7.433199999999999,6.13025,,,200.583,3.25,14.042,214.625
2011-09-30,11.2918,16.0252,4.7334000000000005,4.65625,,,197.708,3.917,15.125,212.833
2011-10-01,4.91,7.6402,2.7296,3.192875,,,190.125,3.25,9.917,200.042
2011-10-02,5.8418,8.200199999999999,2.3584,3.9532499999999997,,,197.087,2.875,10.696,207.783
2011-10-03,6.7304,10.9672,4.2366,3.515625,,,194.542,3.208,9.625,204.167
2011-10-04,11.3918,16.7834,5.3915999999999995,4.15775,,,205.0,2.826,12.625,217.625
2011-10-05,16.85,23.2582,6.4084,2.8748750000000003,,,197.583,4.75,22.792,220.375
2011-10-06,6.8,9.5832,2.7832,4.968875,,,186.13,2.5,9.565,195.696
2011-10-07,11.533199999999999,15.4,3.8665999999999996,6.125,,,192.042,4.0,13.75,205.792
