date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean,SO2_mean
2011-10-08,191.435,14.957,12.812,16.125,3.312,35.396,206.391,0.417
2011-10-09,195.391,13.783,9.979,12.625,2.646,31.104,209.174,0.75
2011-10-10,193.739,17.609,13.693,17.62,3.928,37.042,211.348,0.478
2011-10-11,196.478,24.478,21.792,31.417,9.625,54.125,220.957,0.5
2011-10-12,194.957,18.217,17.375,26.146,8.77,52.042,213.174,0.458
2011-10-13,198.773,35.273,29.458,52.902,23.443,54.771,234.045,0.5
2011-10-14,195.087,21.826,18.979,40.146,21.166,45.062,216.913,0.125
2011-10-15,185.174,13.217,14.104,17.916,3.812,15.625,198.391,0.0
2011-10-16,190.087,12.609,10.146,12.208,2.062,24.729,202.696,0.167
2011-10-17,194.304,12.739,14.436,22.183,7.747,30.084,207.043,0.435
2011-10-18,189.913,12.826,14.688,19.875,5.188,18.333,202.739,0.0
2011-10-19,190.478,17.652,19.546,31.25,11.704,23.104,208.13,0.409
2011-10-20,193.739,22.217,22.979,31.542,8.562,33.104,215.957,0.75
2011-10-21,194.565,34.522,23.642,43.262,19.621,35.578,229.087,0.375
2011-10-22,185.826,16.652,14.218,20.31,6.092,22.542,202.478,0.0
2011-10-23,185.13,8.957,6.666,7.98,1.312,11.688,194.087,0.042
2011-10-24,191.13,24.391,19.352,29.68,10.328,16.292,215.522,0.739
2011-10-25,190.087,13.478,12.604,19.104,6.5,18.812,203.565,0.208
2011-10-26,188.0,6.522,7.938,10.188,2.25,8.979,194.522,0.0
2011-10-27,189.87,21.957,17.868,24.098,6.23,20.396,211.826,0.375
2011-10-28,193.261,21.913,22.026,33.592,11.566,25.75,215.174,0.391
2011-10-29,197.13,22.13,19.968,30.114,10.146,29.166,219.261,0.5
2011-10-30,194.565,18.696,15.334,17.875,2.542,33.25,213.261,0.167
2011-10-31,186.174,13.391,12.675,16.784,4.11,9.688,199.565,0.043
2011-11-01,191.783,23.174,19.979,30.75,10.771,18.208,214.957,0.667
2011-11-02,192.957,35.783,17.71,29.03,11.32,24.604,228.739,0.292
2011-11-03,197.913,33.522,15.583,19.5,3.917,35.729,231.435,0.292
2011-11-04,197.304,26.783,25.7,33.221,7.521,36.708,224.087,0.292
2011-11-05,195.217,27.87,20.471,31.766,11.296,38.146,223.087,0.125
2011-11-06,188.783,19.217,12.375,16.334,3.958,20.542,208.0,0.0
2011-11-07,188.13,8.565,10.228,12.767,2.54,8.312,196.696,0.0
2011-11-08,189.217,12.304,11.109,13.043,1.935,10.932,201.522,0.045
2011-11-09,191.261,15.957,16.48,25.458,8.98,13.396,207.217,0.042
2011-11-10,190.0,20.304,20.834,35.188,14.355,22.708,210.304,0.292
2011-11-11,189.565,25.087,18.854,32.708,13.855,16.312,214.652,0.0
2011-11-12,193.696,24.043,14.312,30.146,15.833,10.625,217.739,0.167
2011-11-13,195.87,20.609,10.521,17.416,6.896,14.875,216.478,0.125
2011-11-14,194.087,19.087,15.706,24.009,8.304,35.375,213.174,0.652
2011-11-15,189.913,10.739,13.48,17.167,3.688,19.042,200.652,0.25
2011-11-16,189.13,12.174,13.646,18.312,4.666,10.084,201.304,0.292
2011-11-17,191.783,16.609,17.875,27.25,9.375,15.584,208.391,0.417
2011-11-18,199.348,47.13,31.916,78.146,46.229,35.562,246.478,0.625
2011-11-19,193.391,34.0,21.688,43.98,22.292,23.916,227.391,0.0
2011-11-20,193.318,12.545,9.979,13.146,3.167,12.375,205.864,0.083
2011-11-21,189.0,5.87,9.736,11.728,1.992,6.442,194.87,0.045
2011-11-22,191.87,17.783,17.083,31.0,13.916,,209.652,0.083
2011-11-23,196.652,33.826,20.875,48.896,28.02,,230.478,0.125
2011-11-24,192.304,13.174,13.174,21.304,8.131,5.075,205.478,0.043
2011-11-25,190.217,10.652,14.438,21.084,6.646,5.334,200.87,0.25
2011-11-26,194.087,21.522,16.32,34.318,17.998,10.208,215.609,0.043
2011-11-27,197.957,26.261,15.854,28.938,13.084,20.416,224.217,0.292
2011-11-28,203.217,52.0,27.012,87.375,60.364,33.75,255.217,0.458
2011-11-29,208.913,66.304,29.312,84.979,55.667,45.854,275.217,0.458
2011-11-30,197.087,39.783,24.916,56.0,31.084,35.666,236.87,0.458
2011-12-01,190.783,12.696,15.562,20.854,5.292,6.708,203.478,0.208
2011-12-02,190.783,26.913,20.667,36.312,15.645,8.062,217.696,0.167
2011-12-03,192.13,22.261,16.57,35.379,18.808,10.666,214.391,0.0
2011-12-04,190.565,6.565,6.062,6.812,0.75,5.084,197.13,0.0
2011-12-05,190.087,14.304,13.184,19.844,6.66,6.166,204.391,0.042
2011-12-06,187.0,9.0,24.584,49.812,25.23,15.938,196.0,0.458
2011-12-07,,,21.087,47.217,26.13,17.478,,0.304
2011-12-08,201.727,41.0,22.229,58.75,36.52,22.834,242.727,0.25
2011-12-09,193.0,10.826,13.125,20.979,7.854,7.979,203.826,0.0
2011-12-10,194.0,18.043,20.958,38.166,17.208,14.73,212.043,0.333
2011-12-11,191.696,9.304,10.125,15.792,5.666,12.312,201.0,0.167
2011-12-12,195.304,20.261,18.759,37.585,18.826,17.375,215.565,0.435
2011-12-13,194.478,21.565,19.812,38.583,18.771,12.708,216.043,0.083
2011-12-14,195.522,31.957,24.708,53.146,28.438,18.875,227.478,0.375
2011-12-15,199.783,22.0,19.812,48.125,28.312,22.375,221.783,1.0
2011-12-16,190.609,4.652,8.125,9.0,0.875,6.208,195.261,0.0
2011-12-17,192.348,11.783,13.042,17.875,4.834,5.625,204.13,0.25
2011-12-18,195.304,14.739,12.188,19.084,6.896,11.562,210.043,0.125
2011-12-19,189.261,10.783,12.398,16.368,3.97,7.792,200.043,0.13
2011-12-20,192.913,16.609,17.73,31.708,13.979,8.146,209.522,0.25
2011-12-21,196.217,28.87,22.229,47.125,24.896,14.792,225.087,0.375
2011-12-22,200.261,24.435,22.75,51.333,28.584,27.271,224.696,1.375
2011-12-23,192.13,9.261,12.896,16.166,3.27,4.583,201.391,0.042
2011-12-24,194.435,12.826,14.916,23.396,8.479,6.875,207.261,0.5
2011-12-25,192.043,6.043,6.25,6.979,0.729,4.208,198.087,0.042
2011-12-26,192.913,8.304,16.442,21.196,4.755,6.792,201.217,0.0
2011-12-27,193.783,15.304,19.152,34.848,15.696,9.312,209.087,0.13
2011-12-28,193.696,24.435,21.062,34.584,13.52,8.98,218.13,0.125
