date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2012-08-20,12.174,15.978,3.804,8.875
2012-08-21,13.646,19.0,5.354,9.083
2012-08-22,10.313,18.622,8.309,6.545
2012-08-23,12.479,20.093,7.614,8.083
2012-08-24,13.334,21.146,7.812,7.167
2012-08-25,13.125,17.646,4.521,10.833
2012-08-26,6.271,8.146,1.875,9.292
2012-08-27,9.392,12.87,3.478,7.625
2012-08-28,10.312,12.729,2.417,7.583
2012-08-29,14.951,20.308,5.357,8.0
2012-08-30,18.458,28.334,9.875,12.833
2012-08-31,11.792,15.792,4.0,9.0
2012-09-01,10.188,12.062,1.875,6.708
2012-09-02,8.688,10.208,1.521,9.333
2012-09-03,12.044,14.152,2.109,6.792
2012-09-04,22.812,29.125,6.312,16.208
2012-09-05,21.76,27.608,5.849,25.682
2012-09-06,17.591,21.17,3.58,18.0
2012-09-07,20.521,28.979,8.458,18.583
2012-09-08,12.5,14.5,2.0,10.542
2012-09-09,8.375,10.438,2.062,7.0
2012-09-10,12.978,17.956,4.978,7.042
2012-09-11,19.458,27.438,7.979,8.458
2012-09-12,18.37,23.079,4.709,11.087
2012-09-13,24.104,30.292,6.188,19.375
2012-09-14,12.958,15.584,2.625,13.167
2012-09-15,15.312,20.562,5.25,9.792
2012-09-16,8.854,11.396,2.542,8.125
2012-09-17,6.674,8.348,1.674,7.042
2012-09-18,11.0,13.375,2.375,6.708
2012-09-19,19.456,24.036,4.58,12.13
2012-09-20,15.284,17.904,2.621,19.0
2012-09-21,16.104,19.062,2.958,18.292
2012-09-22,14.875,16.916,2.042,21.75
2012-09-23,8.438,9.042,0.604,17.708
2012-09-24,13.26,15.761,2.5,7.708
2012-09-25,18.854,22.292,3.438,9.583
2012-09-26,24.055,29.432,5.376,12.522
2012-09-27,19.375,26.312,6.938,15.917
2012-09-28,17.333,21.0,3.666,14.333
2012-09-29,21.708,24.916,3.208,24.667
2012-09-30,9.396,10.229,0.834,15.5
2012-10-01,14.413,18.978,4.565,6.0
2012-10-02,13.667,17.188,3.521,7.125
2012-10-03,14.786,18.002,3.216,9.739
2012-10-04,10.879,14.222,3.342,7.792
2012-10-05,10.854,13.521,2.667,8.0
2012-10-06,16.98,22.042,5.062,18.625
2012-10-07,6.646,7.52,0.875,11.208
2012-10-08,13.087,14.87,1.783,10.625
2012-10-09,25.458,31.104,5.646,17.542
2012-10-10,21.998,26.621,4.624,14.545
