date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2012-03-01,24.139,33.305,9.167,31.361,,
2012-03-02,4.667,4.778,0.111,14.403,,
2012-03-03,6.417,6.583,0.167,5.875,,
2012-03-04,13.754,17.15,3.397,9.375,,
2012-03-05,15.792,19.819,4.028,15.597,,
2012-03-06,22.585,27.317,4.731,22.704,,
2012-03-07,37.153,49.292,12.139,46.861,,
2012-03-08,29.097,44.153,15.056,48.833,,
2012-03-09,17.472,19.43,1.958,33.625,,
2012-03-10,9.833,11.097,1.264,59.153,,
2012-03-11,6.904,7.537,0.632,9.056,,
2012-03-12,27.371,33.951,6.58,16.831,,
2012-03-13,20.236,28.889,8.653,32.736,,
2012-03-14,9.111,10.889,1.778,6.847,,
2012-03-15,24.903,32.014,7.111,18.052,,
2012-03-16,18.056,21.806,3.75,23.278,,
2012-03-17,8.0,8.903,0.903,27.917,,
2012-03-18,7.314,8.509,1.194,43.542,,
2012-03-19,12.972,18.792,5.82,26.0,,
2012-03-20,12.167,13.306,1.139,30.917,,
2012-03-21,7.4,7.919,0.519,10.526,,
2012-03-22,25.236,29.431,4.194,14.583,,
2012-03-23,13.666,16.514,2.847,17.778,,
2012-03-24,7.639,8.667,1.028,21.722,,
2012-03-25,17.054,21.477,4.423,29.653,,
2012-03-26,11.083,12.584,1.5,7.736,,
2012-03-27,21.07,23.542,2.472,27.82,,
2012-03-28,32.0,47.792,15.792,37.75,,
2012-03-29,20.458,32.25,11.792,30.292,,
2012-03-30,12.445,15.736,3.292,21.764,,
2012-03-31,10.361,11.486,1.125,27.722,,
2012-04-01,8.722,10.056,1.333,10.917,,1.917
2012-04-02,15.032,17.977,2.945,11.042,,1.957
2012-04-03,17.264,23.528,6.264,19.167,,1.708
2012-04-04,11.093,12.623,1.529,7.603,,1.875
2012-04-05,19.819,28.347,8.528,20.486,,2.75
2012-04-06,12.458,14.889,2.431,13.347,,1.875
2012-04-07,11.333,13.055,1.722,9.611,,1.708
2012-04-08,7.666,8.445,0.778,11.083,,2.042
2012-04-09,18.477,22.871,4.395,25.819,,2.043
2012-04-10,16.806,20.014,3.208,39.18,,2.0
2012-04-11,21.203,26.138,4.936,32.529,,1.833
2012-04-12,14.208,15.778,1.57,20.806,,2.208
2012-04-13,16.931,19.514,2.583,22.375,,1.917
2012-04-14,13.0,14.639,1.639,16.764,,1.625
2012-04-15,10.153,11.931,1.778,18.931,,1.833
2012-04-16,22.717,29.329,6.613,19.681,,
