date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2012-06-21,13.267,13.965,0.697,30.319,0.166
2012-06-22,9.347,10.528,1.181,21.486,0.521
2012-06-23,7.236,7.931,0.694,20.917,0.438
2012-06-24,7.361,8.167,0.806,39.472,0.75
2012-06-25,7.131,8.663,1.533,28.958,0.218
2012-06-26,8.403,10.021,1.618,32.083,0.666
2012-06-27,10.533,12.181,1.648,36.543,1.236
2012-06-28,11.209,13.506,2.297,29.917,1.371
2012-06-29,10.042,13.528,3.486,32.889,1.583
2012-06-30,7.542,8.5,0.958,39.264,1.438
2012-07-01,6.445,7.014,0.569,29.819,0.542
2012-07-02,7.423,8.816,1.393,32.334,0.696
2012-07-03,14.458,15.653,1.195,37.07,1.458
2012-07-04,7.753,8.439,0.686,31.758,0.638
