date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-08-22,5.354,6.925,8.029,9.438,1.41,173.565,4.304,0.0,177.87
2011-08-23,8.729,13.383,14.02,19.292,5.271,174.043,6.0,0.0,180.043
2011-08-24,17.828,27.154,12.824,17.484,4.659,182.077,10.154,0.0,192.231
2011-08-25,16.666,25.077,16.832,26.476,9.644,172.786,12.929,0.208,185.714
2011-08-26,11.834,16.528,12.937,21.43,8.493,172.696,6.478,0.0,179.174
2011-08-27,11.292,13.608,9.854,13.417,3.562,175.304,4.913,0.0,180.217
2011-08-28,9.229,10.125,6.594,8.646,2.052,170.739,2.957,0.0,173.696
2011-08-29,10.218,12.02,7.812,11.623,3.812,173.739,3.091,0.0,177.045
2011-08-30,11.0,13.575,8.469,13.219,4.75,171.696,3.348,0.0,175.043
2011-08-31,12.854,16.325,8.751,14.137,5.386,171.217,4.348,0.0,175.565
2011-09-01,12.062,23.475,7.813,18.938,11.125,165.261,5.435,0.042,170.696
2011-09-02,11.708,30.6,4.562,9.771,5.208,162.304,0.87,0.0,163.174
2011-09-03,15.292,36.642,2.427,5.719,3.292,161.522,0.391,0.0,161.913
2011-09-04,14.688,33.817,2.74,4.615,1.875,164.435,0.783,0.0,165.217
2011-09-05,14.708,27.055,8.1,12.891,4.79,169.13,2.217,0.0,171.348
2011-09-06,10.25,9.475,8.225,10.749,2.524,173.87,3.913,0.0,177.783
2011-09-07,13.968,13.865,12.623,17.796,5.173,176.304,4.391,0.0,180.696
2011-09-08,21.5,21.423,13.521,17.312,3.792,176.348,4.696,0.583,181.043
2011-09-09,33.771,39.55,16.344,20.166,3.823,178.522,7.652,0.833,186.174
2011-09-10,23.666,26.441,12.479,17.104,4.625,178.261,10.435,0.208,188.696
2011-09-11,19.396,22.983,7.375,9.49,2.114,174.783,4.87,0.042,179.652
2011-09-12,21.438,30.812,13.834,20.256,6.422,171.174,8.043,0.0,179.217
2011-09-13,24.729,32.283,16.312,24.469,8.156,173.087,10.739,0.25,183.826
2011-09-14,16.792,20.792,12.647,20.376,7.729,172.87,8.0,0.043,180.87
2011-09-15,25.646,34.283,10.979,16.188,5.208,170.304,4.478,0.083,174.783
2011-09-16,40.812,47.792,15.031,22.667,7.635,170.739,9.478,0.5,180.217
2011-09-17,17.625,27.433,10.573,19.979,9.406,169.478,7.391,0.25,176.87
2011-09-18,18.375,27.367,9.032,14.115,5.083,169.261,7.652,0.375,176.913
2011-09-19,8.584,11.192,6.156,8.528,2.372,172.348,3.478,0.0,175.826
2011-09-20,4.958,5.979,7.552,9.146,1.594,172.609,3.826,0.0,176.435
2011-09-21,3.166,4.48,5.494,6.577,1.083,169.652,2.652,0.0,172.304
2011-09-22,8.869,9.871,16.329,24.452,8.124,177.524,7.238,0.0,184.762
2011-09-23,8.438,10.525,11.375,17.166,5.792,175.043,7.304,0.0,182.348
2011-09-24,6.77,8.867,8.813,12.364,3.552,175.217,5.739,0.0,180.957
2011-09-25,7.417,8.908,8.24,10.51,2.271,174.261,4.13,0.042,178.391
2011-09-26,12.292,14.125,15.819,24.996,9.177,175.348,8.043,0.0,183.391
2011-09-27,14.708,16.325,13.198,18.375,5.177,175.13,6.435,0.0,181.565
2011-09-28,16.438,19.067,13.726,18.106,4.381,174.435,6.174,0.083,180.609
2011-09-29,10.896,12.342,11.114,15.667,4.552,172.522,4.217,0.0,176.739
2011-09-30,16.761,20.576,13.958,19.521,5.563,173.522,7.043,0.0,180.565
2011-10-01,5.188,8.05,3.771,5.292,1.521,174.652,2.391,0.0,177.043
2011-10-02,3.271,6.75,6.531,8.875,2.344,174.348,4.174,0.0,178.522
2011-10-03,3.375,7.317,7.431,10.342,2.91,174.348,2.652,0.0,177.0
2011-10-04,7.0,9.892,13.021,18.23,5.208,175.0,5.043,0.125,180.043
2011-10-05,9.646,13.992,15.339,22.072,6.734,174.609,6.348,0.167,180.957
2011-10-06,6.021,9.825,13.594,17.479,3.886,170.696,4.913,0.0,175.609
2011-10-07,15.688,17.525,9.271,11.771,2.5,174.217,3.261,0.167,177.478
2011-10-08,27.188,31.467,12.625,15.688,3.062,176.391,7.043,0.042,183.435
2011-10-09,20.708,24.5,10.698,12.99,2.292,177.913,7.0,0.25,184.913
2011-10-10,28.354,32.358,14.531,18.1,3.569,176.522,9.826,0.304,186.348
2011-10-11,21.261,24.416,12.977,15.579,2.602,181.545,8.773,0.0,190.318
2011-10-12,13.188,16.208,15.21,21.384,6.174,177.565,6.391,0.0,183.957
2011-10-13,18.146,22.825,19.493,27.448,7.956,178.174,10.13,0.042,188.304
2011-10-14,31.98,42.733,14.114,18.677,4.563,178.261,7.696,0.583,185.957
2011-10-15,18.604,24.892,15.427,21.104,5.677,174.565,9.13,0.083,183.696
2011-10-16,17.5,20.508,12.375,15.49,3.114,176.348,6.652,0.0,183.0
2011-10-17,17.979,22.983,10.772,14.07,3.298,176.174,4.609,0.0,180.783
