date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2012-03-01,8.778,9.097,0.32,0.961,9.522
2012-03-02,3.417,3.611,0.194,1.107,17.739
2012-03-03,3.627,3.836,0.208,0.747,13.583
2012-03-04,7.736,8.514,0.778,1.931,11.75
2012-03-05,10.639,11.347,0.708,4.875,38.875
2012-03-06,13.5,15.847,2.347,3.119,24.625
2012-03-07,10.642,13.32,2.678,2.762,22.375
2012-03-08,13.792,15.889,2.097,3.196,36.458
2012-03-09,13.556,15.167,1.611,3.667,50.958
2012-03-10,8.694,9.278,0.583,1.443,32.333
2012-03-11,4.944,5.458,0.514,0.972,9.0
2012-03-12,7.722,9.833,2.111,1.923,11.083
2012-03-13,6.097,6.697,0.6,0.938,7.5
2012-03-14,2.931,3.236,0.305,0.542,9.435
2012-03-15,8.403,9.514,1.111,1.077,11.625
2012-03-16,13.305,18.347,5.042,2.488,21.042
2012-03-17,8.064,8.613,0.549,3.03,32.958
2012-03-18,6.195,6.458,0.264,0.565,26.417
2012-03-19,11.847,13.292,1.444,1.726,28.125
2012-03-20,13.25,14.389,1.139,1.536,34.042
2012-03-21,4.195,4.556,0.361,0.442,5.5
2012-03-22,11.889,15.611,3.722,2.013,10.875
2012-03-23,6.157,6.592,0.435,0.88,12.833
2012-03-24,11.458,12.305,0.847,1.818,25.542
2012-03-25,5.472,5.667,0.194,1.256,17.0
2012-03-26,4.847,5.181,0.333,0.839,11.125
2012-03-27,15.641,17.483,1.842,1.22,19.208
2012-03-28,14.542,16.069,1.528,0.988,16.292
2012-03-29,13.445,15.528,2.083,1.786,25.125
2012-03-30,4.625,4.792,0.167,0.573,14.333
2012-03-31,8.528,9.514,0.986,1.393,14.75
2012-04-01,5.338,6.038,0.699,1.23,18.75
2012-04-02,5.18,5.694,0.514,1.256,18.417
2012-04-03,3.111,3.528,0.417,0.643,17.273
2012-04-04,4.778,5.486,0.708,0.781,14.333
2012-04-05,7.694,8.944,1.25,2.697,17.125
2012-04-06,5.875,6.347,0.472,0.941,12.958
2012-04-07,4.202,4.606,0.404,0.816,9.875
2012-04-08,8.292,9.444,1.153,1.376,15.053
2012-04-09,8.805,9.931,1.125,4.339,35.13
2012-04-10,10.236,11.111,0.875,4.708,40.542
2012-04-11,5.023,5.583,0.56,0.612,9.375
2012-04-12,7.417,8.167,0.75,1.161,19.25
2012-04-13,12.694,14.083,1.389,1.929,22.042
2012-04-14,6.417,6.917,0.5,0.813,11.792
2012-04-15,6.486,7.208,0.722,1.286,11.25
2012-04-16,11.694,13.764,2.069,1.024,11.917
2012-04-17,7.998,9.54,1.542,1.268,12.5
2012-04-18,8.278,9.25,0.972,1.495,21.083
2012-04-19,11.749,14.733,2.985,1.839,19.957
2012-04-20,11.33,12.451,1.121,1.208,15.792
2012-04-21,7.436,9.313,1.877,0.814,10.417
2012-04-22,1.486,1.792,0.306,0.167,4.708
2012-04-23,8.375,9.486,1.111,1.804,16.333
2012-04-24,11.861,13.778,1.917,2.508,44.417
2012-04-25,7.78,9.001,1.221,2.176,42.042
2012-04-26,4.181,4.403,0.222,0.482,14.083
2012-04-27,6.764,7.206,0.442,1.03,8.208
2012-04-28,8.958,9.972,1.014,1.776,11.458
2012-04-29,4.347,4.819,0.472,1.012,14.083
2012-04-30,9.167,10.014,0.847,1.208,20.375
2012-05-01,6.44,7.676,1.236,1.074,5.708
2012-05-02,9.236,9.792,0.556,0.633,4.0
2012-05-03,2.25,2.389,0.139,0.101,3.292
2012-05-04,1.5,1.514,0.014,0.268,2.958
2012-05-05,5.653,6.181,0.528,1.252,14.083
2012-05-06,7.736,8.306,0.569,1.922,26.875
2012-05-07,8.038,8.993,0.955,1.47,26.083
2012-05-08,9.278,9.958,0.68,3.107,62.25
2012-05-09,9.611,10.125,0.514,2.072,51.667
2012-05-10,6.375,6.681,0.306,1.012,27.625
