date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CO_mean
2011-12-17,17.261,30.185,12.924,0.688,6.875,5.708
2011-12-18,11.411,16.005,4.594,1.271,9.958,4.958
2011-12-19,20.167,41.475,21.308,0.947,12.125,5.174
2011-12-20,26.908,51.017,24.108,1.386,7.917,4.375
2011-12-21,33.042,69.028,35.985,3.896,21.792,5.792
2011-12-22,26.55,53.592,27.042,4.542,31.667,5.792
2011-12-23,10.642,16.908,6.267,0.094,2.167,2.913
2011-12-24,21.322,38.736,17.413,1.656,9.375,4.875
2011-12-25,7.938,12.469,4.531,0.602,5.792,2.875
2011-12-26,13.829,26.893,13.064,0.397,4.583,3.652
2011-12-27,22.479,46.627,24.147,0.354,5.375,4.375
2011-12-28,37.773,75.997,38.224,1.437,12.696,6.667
2011-12-29,28.042,64.792,36.75,2.917,22.333,6.458
2011-12-30,7.983,11.633,3.65,0.334,5.708,2.913
2011-12-31,19.965,28.011,8.046,0.74,8.583,5.458
2012-01-01,15.725,20.063,4.337,2.152,15.333,5.792
2012-01-02,13.413,18.857,5.444,2.427,22.25,5.0
2012-01-03,7.117,9.667,2.55,1.073,8.458,3.375
2012-01-04,8.558,12.217,3.658,0.208,3.417,2.87
2012-01-05,28.336,42.919,14.583,1.625,10.167,5.833
2012-01-06,23.499,36.095,12.596,1.417,16.042,6.25
2012-01-07,35.016,76.689,41.673,2.26,21.417,7.042
2012-01-08,36.761,107.069,70.308,2.845,23.667,7.042
2012-01-09,27.006,52.453,25.447,1.628,15.762,5.043
2012-01-10,21.258,41.633,20.375,1.042,8.333,4.0
2012-01-11,25.817,53.783,27.967,0.823,9.917,4.609
2012-01-12,34.521,61.315,26.794,2.51,19.0,6.833
2012-01-13,25.36,39.076,13.716,2.302,30.708,6.958
2012-01-14,7.177,9.927,2.75,0.712,7.333,3.083
2012-01-15,16.026,31.443,15.418,1.564,12.917,4.174
2012-01-16,34.517,64.1,29.583,3.042,17.625,6.042
2012-01-17,19.766,36.725,16.958,2.114,20.083,4.667
2012-01-18,16.408,32.5,16.092,0.771,6.0,3.609
2012-01-19,24.853,43.429,18.576,3.042,17.625,5.875
2012-01-20,9.673,12.293,2.62,2.323,25.708,4.25
2012-01-21,33.497,57.452,23.955,1.237,23.25,5.333
2012-01-22,22.542,51.703,29.162,0.986,10.25,5.125
2012-01-23,19.376,37.372,17.996,0.542,4.917,3.435
2012-01-24,31.862,64.458,32.596,3.34,13.5,5.619
2012-01-25,15.247,25.386,10.139,1.864,17.667,4.348
2012-01-26,11.331,17.989,6.658,0.958,6.458,3.542
2012-01-27,13.718,18.474,4.755,1.656,12.125,4.833
2012-01-28,19.493,37.343,17.85,1.242,10.217,4.174
2012-01-29,40.208,79.925,39.717,3.322,20.833,6.708
2012-01-30,30.399,61.579,31.18,3.104,32.25,5.875
2012-01-31,40.583,78.167,37.583,3.896,28.792,7.167
2012-02-01,44.817,91.583,46.767,2.208,27.0,7.739
2012-02-02,28.322,48.261,19.939,2.167,19.333,6.333
2012-02-03,8.56,10.765,2.205,0.688,16.083,3.458
2012-02-04,34.203,71.332,37.129,1.494,19.792,6.043
2012-02-05,12.338,22.529,10.192,1.295,12.958,3.125
2012-02-06,25.032,48.188,23.157,1.177,6.708,4.625
2012-02-07,27.683,52.783,25.1,1.854,15.542,5.333
2012-02-08,12.967,25.35,12.383,0.792,7.083,3.217
2012-02-09,14.383,21.328,6.944,0.562,11.125,3.625
2012-02-10,20.381,28.193,7.812,2.562,20.292,5.042
2012-02-11,10.758,14.533,3.775,2.41,22.042,4.25
2012-02-12,26.708,44.267,17.558,1.117,19.917,4.375
2012-02-13,25.451,46.3,20.848,1.51,18.571,5.391
2012-02-14,38.275,67.675,29.4,1.614,16.833,5.875
2012-02-15,27.033,47.091,20.058,0.937,13.333,4.565
2012-02-16,7.585,11.961,4.376,0.438,9.25,3.125
2012-02-17,15.936,21.262,5.325,0.604,10.292,4.458
2012-02-18,30.067,63.633,33.567,0.372,9.167,5.375
2012-02-19,14.8,27.017,12.217,0.554,11.792,3.227
2012-02-20,20.153,38.963,18.811,0.74,10.125,3.958
2012-02-21,22.267,38.55,16.283,1.438,18.042,4.5
2012-02-22,33.592,57.0,23.408,3.0,29.208,6.087
2012-02-23,16.774,23.633,6.859,1.823,22.25,4.917
2012-02-24,5.953,7.946,1.993,0.667,10.625,3.042
2012-02-25,14.35,25.558,11.208,0.501,9.167,2.957
2012-02-26,28.583,46.717,18.133,1.643,21.75,4.875
2012-02-27,32.553,63.859,31.305,2.833,30.435,6.25
2012-02-28,37.6,62.542,24.942,1.771,23.292,5.708
2012-02-29,,,,,,
2012-03-01,36.659,59.341,22.682,1.746,16.75,5.778
2012-03-02,10.5,15.281,4.781,1.042,21.75,
2012-03-03,8.667,10.958,2.292,0.653,12.292,
2012-03-04,28.154,43.672,15.519,2.228,16.042,5.667
2012-03-05,35.667,61.25,25.583,4.061,42.542,7.0
2012-03-06,47.383,81.949,34.566,4.842,40.25,7.417
2012-03-07,35.633,56.6,20.967,4.219,27.167,5.583
2012-03-08,38.725,63.792,25.067,6.469,33.75,5.913
2012-03-09,36.169,48.142,11.973,8.333,54.875,6.708
2012-03-10,12.522,14.741,2.219,3.135,32.0,4.042
2012-03-11,13.05,20.808,7.758,0.558,9.25,2.435
2012-03-12,31.467,51.058,19.592,2.6,6.111,4.667
2012-03-13,34.725,58.186,23.462,2.698,9.5,5.5
2012-03-14,9.383,15.0,5.617,0.323,10.5,2.542
2012-03-15,38.625,66.058,27.433,2.375,14.458,5.391
2012-03-16,35.313,60.999,25.687,4.635,25.167,6.792
2012-03-17,21.065,25.871,4.806,4.146,41.833,6.208
2012-03-18,28.208,42.692,14.483,3.134,33.208,5.042
2012-03-19,35.875,54.608,18.733,5.604,27.87,6.7
