date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-08-22,5.021,23.031,188.0,33.045,8.266,9.711,1.446,,221.045
2011-08-23,4.085,25.543,182.458,31.958,7.828,10.602,2.774,,214.417
2011-08-24,6.036,28.422,181.583,40.583,9.708,15.021,5.312,,222.167
2011-08-25,7.618,39.036,185.5,49.333,13.576,17.381,3.805,,234.833
2011-08-26,5.792,22.317,178.375,35.125,7.0,10.062,3.062,,213.5
2011-08-27,7.445,25.766,180.292,35.833,7.146,9.792,2.646,,216.125
2011-08-28,6.875,26.25,179.792,31.5,5.25,6.375,1.125,,211.292
2011-08-29,8.453,34.745,182.435,33.609,7.13,8.832,1.702,,216.043
2011-08-30,8.352,48.014,186.167,34.917,8.396,10.021,1.625,,221.083
2011-08-31,7.929,42.828,187.25,32.667,9.167,10.334,1.166,,219.917
2011-09-01,5.369,21.534,181.792,28.958,9.438,13.021,3.584,,210.75
2011-09-02,2.932,14.536,177.458,18.75,5.416,8.0,2.584,,196.208
2011-09-03,2.356,14.177,173.917,21.542,3.729,4.812,1.084,,195.458
2011-09-04,3.339,8.568,176.75,24.542,2.416,2.958,0.542,,201.292
2011-09-05,5.026,7.203,181.957,30.261,4.29,5.318,1.028,,212.217
2011-09-06,6.11,14.057,190.455,27.909,6.574,8.488,1.915,,218.364
2011-09-07,7.333,17.854,197.708,25.917,8.354,10.229,1.875,,223.625
2011-09-08,8.052,27.734,198.417,25.333,8.405,10.022,1.618,,223.75
2011-09-09,8.896,30.026,191.0,29.417,10.5,12.834,2.334,,220.417
2011-09-10,7.17,24.505,187.5,31.292,8.896,11.458,2.562,,218.792
2011-09-11,6.948,17.594,185.042,24.792,6.875,8.917,2.042,,209.833
2011-09-12,8.396,18.855,183.545,28.136,10.081,13.711,3.63,,211.682
2011-09-13,7.83,24.726,182.773,34.773,9.0,11.75,2.75,,217.545
2011-09-14,7.656,35.219,183.667,36.708,9.229,11.5,2.271,,220.375
2011-09-15,6.637,25.248,180.783,28.217,8.102,9.988,1.886,,209.0
2011-09-16,3.549,14.087,182.542,26.125,9.75,13.958,4.208,,208.667
2011-09-17,2.25,9.766,178.458,30.417,10.188,16.604,6.416,,208.875
2011-09-18,3.76,14.766,177.583,24.25,7.5,12.167,4.666,,201.833
2011-09-19,2.948,9.5,182.083,21.208,6.421,8.318,1.898,,203.292
2011-09-20,2.052,7.745,183.75,22.625,8.979,11.0,2.021,,206.375
2011-09-21,2.31,5.01,182.636,17.727,4.546,6.114,1.568,,200.364
2011-09-22,3.87,7.62,185.708,17.083,3.703,5.335,1.632,,202.792
2011-09-23,4.052,10.229,187.25,21.833,4.396,5.896,1.5,,209.083
2011-09-24,4.598,13.042,192.333,20.75,4.812,6.02,1.208,,213.083
2011-09-25,5.495,18.073,194.958,22.583,6.896,8.292,1.396,,217.542
2011-09-26,5.289,21.85,190.375,27.792,10.396,13.178,2.781,,218.167
2011-09-27,4.966,16.603,189.045,21.227,7.6,10.29,2.689,,210.273
2011-09-28,5.807,22.958,186.833,27.75,9.166,10.938,1.771,,214.583
2011-09-29,6.443,30.734,187.875,27.708,8.542,10.25,1.708,,215.583
2011-09-30,3.974,14.656,182.875,25.625,6.188,7.438,1.25,,208.5
2011-10-01,4.069,14.307,185.333,18.458,5.354,6.333,0.979,11.583,203.792
2011-10-02,3.891,11.76,186.083,19.958,4.062,5.0,0.938,10.042,206.042
2011-10-03,4.109,10.562,185.652,16.957,5.551,6.764,1.212,8.0,202.609
2011-10-04,4.492,12.005,185.125,17.583,7.602,11.302,3.7,10.167,202.708
2011-10-05,3.402,19.161,184.875,19.708,14.02,17.649,3.628,13.458,204.583
2011-10-06,4.422,12.141,182.375,16.5,6.062,8.416,2.354,10.167,198.875
2011-10-07,4.74,31.156,186.0,18.0,5.875,7.542,1.666,29.083,204.0
2011-10-08,5.188,28.458,186.833,18.625,7.042,8.521,1.479,26.375,205.458
2011-10-09,6.422,46.396,185.958,20.333,6.958,8.167,1.208,40.125,206.292
2011-10-10,5.969,35.766,185.917,21.042,6.598,8.111,1.513,33.25,206.958
2011-10-11,6.827,38.847,185.583,24.292,11.542,13.979,2.438,35.958,209.875
2011-10-12,6.158,43.864,187.652,23.739,7.979,9.479,1.5,41.542,211.391
2011-10-13,4.534,36.319,186.043,20.739,8.75,10.354,1.604,35.125,206.783
2011-10-14,4.115,44.651,184.708,30.625,12.292,15.458,3.166,30.792,215.333
2011-10-15,3.344,7.703,180.708,23.0,4.708,5.771,1.062,5.75,203.708
2011-10-16,4.833,24.536,186.625,14.5,3.166,3.666,0.5,22.333,201.125
2011-10-17,4.792,22.901,185.958,14.833,4.812,5.502,0.691,22.292,200.792
2011-10-18,4.411,12.755,186.958,13.708,6.208,7.562,1.354,13.043,200.667
2011-10-19,4.667,15.578,186.478,14.87,7.5,9.062,1.562,13.708,201.348
2011-10-20,6.115,31.414,186.917,20.708,10.232,12.365,2.133,25.708,207.625
2011-10-21,4.417,25.578,186.042,24.292,11.55,15.096,3.547,15.75,210.333
2011-10-22,3.686,13.651,180.708,22.042,8.062,10.938,2.875,7.875,202.75
2011-10-23,2.974,5.312,178.333,13.625,3.312,4.708,1.396,1.25,191.958
2011-10-24,4.855,15.718,180.682,20.591,6.981,9.462,2.482,11.833,201.273
2011-10-25,3.715,11.229,183.792,16.0,3.916,4.833,0.916,8.833,199.792
2011-10-26,3.77,9.552,187.958,10.125,5.292,6.167,0.875,8.542,198.083
