date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2012-03-27,21.8955,28.0835,6.1875,19.4375,19.583
2012-03-28,16.3335,20.1875,3.854,21.2085,17.958
2012-03-29,17.1665,20.771,3.604,26.104,20.958
2012-03-30,12.7085,14.4165,1.708,16.5,16.417
2012-03-31,9.5625,10.917,1.3544999999999998,13.8335,13.708
2012-04-01,7.6045,8.0415,0.4375,12.125,10.167
2012-04-02,8.6955,9.7175,1.0215,15.0835,12.833
2012-04-03,3.6665,4.0,0.3335,15.9165,15.833
2012-04-04,5.604,6.375,0.771,11.7915,11.958
2012-04-05,8.609,9.239,0.6305000000000001,25.869500000000002,25.913
2012-04-06,6.042,7.208,1.167,9.125,8.333
2012-04-07,7.4165,8.75,1.3335,7.625,8.833
