date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-11-03,203.125,8.042,36.375,33.917,45.167,11.25,9.042,48.417,239.5
2011-11-04,200.625,7.0,26.0,24.583,38.292,13.708,6.042,48.0,226.625
2011-11-05,199.917,5.958,28.167,27.125,36.917,9.792,7.292,44.917,228.083
2011-11-06,199.417,5.043,26.625,18.083,22.625,4.542,4.542,45.667,226.042
2011-11-07,190.875,4.167,11.958,11.167,14.792,3.625,4.522,10.435,202.833
2011-11-08,189.478,3.417,6.391,5.826,8.261,2.435,4.625,9.042,195.87
2011-11-09,193.083,4.917,13.625,7.542,13.417,5.875,6.042,11.458,206.708
2011-11-10,193.75,3.542,10.792,7.583,11.625,4.042,5.125,14.125,204.542
2011-11-11,191.333,5.75,22.625,7.333,10.667,3.333,5.75,12.542,213.958
2011-11-12,193.292,4.25,11.917,5.375,7.625,2.25,4.042,10.042,205.208
2011-11-13,198.083,5.083,16.833,6.083,9.917,3.833,6.125,19.917,214.917
