date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,THC_mean
2011-09-09,185.167,1.875,10.25,7.917,17.25,9.333,0.0,1.333,,195.417
2011-09-10,181.542,1.75,9.75,6.208,12.75,6.542,0.0,4.542,,191.292
2011-09-11,187.708,1.875,11.208,4.708,8.833,4.125,11.0,0.292,,198.917
2011-09-12,185.292,1.75,12.583,7.875,18.167,10.292,0.0,1.167,,197.875
2011-09-13,184.417,1.75,13.125,7.375,15.833,8.458,0.0,3.042,,197.542
2011-09-14,181.652,2.682,11.087,11.435,22.913,11.478,0.0,2.857,14.308,192.739
2011-09-15,181.333,1.958,9.833,6.25,13.833,7.583,0.0,0.583,9.292,191.167
2011-09-16,180.917,1.667,7.833,4.292,7.917,3.625,0.0,0.208,10.375,188.75
2011-09-17,178.542,1.167,6.75,1.958,3.125,1.167,1.0,0.0,9.833,185.292
2011-09-18,180.167,1.792,8.167,3.5,5.917,2.417,0.0,0.583,9.583,188.333
2011-09-19,184.708,2.583,10.0,7.458,12.042,4.583,1.0,1.542,20.792,194.708
2011-09-20,189.167,3.625,14.292,21.792,44.292,22.5,48.0,2.375,25.833,203.458
2011-09-21,184.0,2.217,13.609,9.261,19.913,10.652,115.0,0.696,21.458,197.609
2011-09-22,184.167,1.875,10.125,12.75,19.583,6.833,0.0,1.833,9.875,194.292
2011-09-23,192.833,2.417,12.667,12.583,17.958,5.375,0.0,1.708,10.25,205.5
2011-09-24,197.167,2.25,12.375,11.917,17.875,5.958,0.0,2.208,9.292,209.542
2011-09-25,195.25,1.5,9.542,6.958,9.375,2.417,0.0,1.042,7.125,204.792
2011-09-26,194.708,2.333,12.792,25.625,41.125,15.5,5.0,3.625,14.208,207.5
2011-09-27,194.25,2.0,12.167,19.917,32.167,12.25,2.0,3.625,14.042,206.417
2011-09-28,186.818,1.217,13.091,17.652,27.217,9.565,0.0,1.565,11.958,199.909
2011-09-29,188.75,1.708,13.792,18.0,28.917,10.917,0.0,2.875,18.0,202.542
2011-09-30,182.667,1.583,10.25,13.167,16.042,2.875,0.0,1.583,28.667,192.917
2011-10-01,190.5,1.875,11.75,13.792,19.792,6.0,0.0,2.25,19.5,202.25
2011-10-02,188.583,1.167,9.583,8.75,11.458,2.708,0.0,1.958,10.375,198.167
2011-10-03,190.417,1.417,10.75,17.708,30.042,12.333,0.0,1.208,10.208,201.167
2011-10-04,193.292,2.0,12.167,18.5,31.083,12.583,0.0,2.833,11.417,205.458
2011-10-05,196.261,3.783,19.565,29.652,50.13,20.478,65.0,1.174,17.375,215.826
2011-10-06,194.167,2.667,11.833,18.375,28.833,10.458,5.0,1.583,6.542,206.0
2011-10-07,188.542,3.125,10.667,19.333,29.917,10.583,0.0,2.583,13.042,199.208
2011-10-08,192.667,3.333,11.75,14.125,19.25,5.125,0.0,1.833,24.833,204.417
2011-10-09,196.833,3.292,10.875,8.083,10.333,2.25,1.0,0.917,28.542,207.708
2011-10-10,193.125,3.875,12.25,14.083,18.875,4.792,5.0,2.167,33.208,205.375
2011-10-11,196.917,4.5,16.208,22.375,34.583,12.208,0.0,3.042,46.708,213.125
2011-10-12,193.652,3.391,11.826,18.174,28.043,9.87,0.0,2.391,37.625,205.478
2011-10-13,195.0,4.458,18.875,21.958,39.625,17.667,0.0,4.565,46.0,213.875
2011-10-14,196.167,4.792,19.292,21.667,33.167,11.5,7.0,4.042,53.042,215.458
2011-10-15,179.542,2.0,7.0,2.25,2.833,0.583,3.0,0.667,13.75,186.542
2011-10-16,180.667,2.583,7.958,5.5,6.417,0.917,37.0,1.333,12.5,188.625
