date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2015-10-24,202.75,12.417,9.667,11.583,1.917,38.25,1.0,215.167
2015-10-25,199.917,8.458,5.458,5.792,0.333,23.042,4.583,208.375
2015-10-26,196.958,10.25,9.167,12.125,2.958,24.083,1.875,207.208
2015-10-27,193.783,10.087,6.5,8.417,1.917,16.667,0.5,203.87
2015-10-28,193.952,9.19,7.45,9.05,1.6,17.0,0.6,203.143
2015-10-29,194.708,8.417,8.125,10.042,1.917,19.542,1.375,203.125
2015-10-30,195.75,9.208,8.25,9.417,1.167,25.833,1.5,204.958
2015-10-31,197.625,10.083,7.583,10.208,2.625,19.792,0.917,207.708
2015-11-01,197.25,10.667,7.75,9.292,1.542,24.042,1.542,207.917
2015-11-02,193.857,9.667,8.286,9.571,1.286,17.714,1.0,203.524
2015-11-03,197.522,10.87,8.708,10.458,1.75,25.292,1.083,208.391
2015-11-04,197.167,11.75,11.957,15.174,3.217,22.542,1.739,208.917
2015-11-05,198.25,15.75,13.625,17.917,4.292,23.091,2.208,214.0
2015-11-06,197.0,14.833,11.875,16.667,4.792,26.25,1.875,211.833
2015-11-07,194.667,14.375,10.0,12.708,2.708,25.875,1.167,209.042
2015-11-08,190.0,9.25,3.875,4.667,0.792,9.042,0.625,199.25
2015-11-09,190.792,8.75,5.875,6.583,0.708,6.833,0.375,199.542
2015-11-10,197.696,9.87,7.875,9.5,1.625,10.333,0.417,207.565
2015-11-11,197.952,10.143,7.55,14.4,6.85,10.75,1.9,208.095
2015-11-12,198.375,12.208,12.0,14.125,2.125,19.077,2.375,210.583
2015-11-13,193.042,9.958,9.292,10.375,1.083,8.167,0.292,203.0
2015-11-14,192.333,10.625,5.333,7.125,1.792,7.833,0.0,202.958
2015-11-15,195.167,7.0,3.75,4.167,0.417,10.833,0.208,202.167
2015-11-16,195.333,9.208,6.292,8.917,2.625,17.792,0.792,204.542
