date,CO_mean
2014-03-25,3.625
2014-03-26,4.708
2014-03-27,4.667
2014-03-28,3.958
2014-03-29,3.458
2014-03-30,5.167
2014-03-31,5.174
2014-04-01,5.0
2014-04-02,4.625
2014-04-03,4.455
2014-04-04,2.583
2014-04-05,4.083
2014-04-06,3.542
2014-04-07,4.625
2014-04-08,4.958
2014-04-09,5.333
2014-04-10,4.87
2014-04-11,5.292
2014-04-12,5.625
2014-04-13,5.417
2014-04-14,4.208
2014-04-15,4.273
2014-04-16,5.667
2014-04-17,4.417
2014-04-18,5.042
2014-04-19,5.042
2014-04-20,4.083
2014-04-21,5.0
2014-04-22,6.957
2014-04-23,4.958
2014-04-24,5.25
2014-04-25,4.208
2014-04-26,3.958
2014-04-27,3.375
2014-04-28,4.0
2014-04-29,3.583
2014-04-30,3.542
2014-05-01,4.0
2014-05-02,4.667
2014-05-03,4.583
2014-05-04,3.792
2014-05-05,3.435
2014-05-06,3.542
2014-05-07,3.75
2014-05-08,3.25
2014-05-09,3.875
2014-05-10,3.958
2014-05-11,3.375
2014-05-12,4.1
2014-05-13,5.292
2014-05-14,5.375
2014-05-15,5.375
2014-05-16,4.875
2014-05-17,4.75
2014-05-18,4.292
2014-05-19,3.913
2014-05-20,4.25
2014-05-21,3.292
2014-05-22,4.167
2014-05-23,3.958
2014-05-24,3.292
2014-05-25,2.583
2014-05-26,5.048
2014-05-27,4.917
2014-05-28,3.458
2014-05-29,3.875
2014-05-30,4.292
2014-05-31,3.833
2014-06-01,3.833
2014-06-02,4.0
2014-06-03,2.792
2014-06-04,4.417
2014-06-05,4.042
2014-06-06,4.708
2014-06-07,4.375
2014-06-08,3.333
2014-06-09,3.5
2014-06-10,4.333
2014-06-11,4.333
2014-06-12,3.583
2014-06-13,3.167
2014-06-14,4.375
2014-06-15,3.833
2014-06-16,4.0
2014-06-17,3.958
2014-06-18,4.75
2014-06-19,3.958
2014-06-20,3.208
2014-06-21,3.375
2014-06-22,3.625
