Station ID,Prefecture Code,Prefecture Name,City Code,City Name,Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Altitude (m),Year Start,Month Start,Day Start,Year End,Month End,Day End
6204050,6,Yamagata-ken,6204,Sakata-shi,38,54,49,139,50,56,3,1975,10,,,,
6205010,6,Yamagata-ken,6205,Shinjyou-shi,38,45,25,140,17,55,97,1994,4,,,,
6206010,6,Yamagata-ken,6206,Sagae-shi,38,23,27,140,16,39,104,2003,4,,,,
6207010,6,Yamagata-ken,6207,Kaminoyama-shi,38,9,27,140,16,37,180,1989,5,,,,
6208010,6,Yamagata-ken,6208,Murayama-shi,38,28,25,140,23,57,110,2003,4,,,,
6209010,6,Yamagata-ken,6209,Nagai-shi,38,6,39,140,2,4,200,2003,4,,,,
6210010,6,Yamagata-ken,6210,Tendou-shi,38,21,46,140,22,34,104,1989,5,,,,
6422010,6,Yamagata-ken,6428,Shiyounai-machi,38,50,48,139,54,11,9,1975,6,,,,
6461010,6,Yamagata-ken,6461,Yuza-machi,39,0,48,139,54,58,14,1973,10,,,,
7201180,7,Fukushima-ken,7201,Fukushima-shi,37,46,35,140,29,25,62,1980,2,,,,
7201190,7,Fukushima-ken,7201,Fukushima-shi,37,44,27,140,27,51,64,1980,2,,,,
7201200,7,Fukushima-ken,7201,Fukushima-shi,37,46,2,140,26,52,78,1980,2,,,,
7201510,7,Fukushima-ken,7201,Fukushima-shi,37,45,59,140,28,44,63,2018,3,26,,,
7202070,7,Fukushima-ken,7202,Aizuwakamatsu-shi,37,29,40,139,55,26,217.3,1992,3,,,,
7203130,7,Fukushima-ken,7203,Kooriyama-shi,37,23,28,140,23,45,225,1978,3,,,,
7203140,7,Fukushima-ken,7203,Kooriyama-shi,37,23,27,140,22,45,233,1978,3,,,,
7203150,7,Fukushima-ken,7203,Kooriyama-shi,37,26,52,140,23,35,245,1978,3,,,,
7203180,7,Fukushima-ken,7203,Kooriyama-shi,37,21,24,140,21,51,234,1980,1,,,,
7203520,7,Fukushima-ken,7203,Kooriyama-shi,37,23,36,140,20,25,254,1996,8,,,,
7204020,7,Fukushima-ken,7204,Iwaki-shi,36,53,39,140,46,53,4,1971,11,,,,
7204030,7,Fukushima-ken,7204,Iwaki-shi,36,54,39,140,46,30,12,1971,11,,,,
7204070,7,Fukushima-ken,7204,Iwaki-shi,36,56,11,140,51,46,2,1978,12,,,,
7204090,7,Fukushima-ken,7204,Iwaki-shi,36,57,10,140,52,7,2,1969,3,,,,
7204110,7,Fukushima-ken,7204,Iwaki-shi,36,57,47,140,53,29,3,1971,5,,,,
7204160,7,Fukushima-ken,7204,Iwaki-shi,36,56,48,140,52,44,3,1974,2,,,,
7204170,7,Fukushima-ken,7204,Iwaki-shi,36,55,44,140,49,18,64,1974,3,,,,
7204210,7,Fukushima-ken,7204,Iwaki-shi,37,3,31,140,53,8,34,1976,5,,,,
7204510,7,Fukushima-ken,7204,Iwaki-shi,37,3,16,140,53,38,8,1992,3,,,,
7204720,7,Fukushima-ken,7204,Iwaki-shi,37,0,12,140,55,7,44,2012,4,1,,,
7204730,7,Fukushima-ken,7204,Iwaki-shi,37,0,7,140,50,56,23,2012,4,1,,,
7204740,7,Fukushima-ken,7204,Iwaki-shi,37,5,37,140,53,46,6,2012,4,1,,,
7205050,7,Fukushima-ken,7205,Shirakawa-shi,37,7,18,140,13,15,350,1978,12,,,,
