date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-11-19,177.591,5.091,3.429,3.81,0.381,0.286,182.682
2011-11-20,187.542,4.292,1.958,2.0,0.042,2.5,191.833
2011-11-21,189.591,4.682,4.688,5.062,0.375,4.909,194.273
2011-11-22,186.417,4.625,3.792,3.833,0.042,4.5,191.042
2011-11-23,186.609,5.783,3.958,4.292,0.333,2.042,192.391
2011-11-24,189.0,3.958,2.333,2.333,0.0,0.833,192.958
2011-11-25,190.455,4.682,4.455,4.591,0.136,2.182,195.136
2011-11-26,191.75,4.75,3.708,4.167,0.458,1.5,196.5
2011-11-27,188.875,4.292,1.792,2.125,0.333,0.875,193.167
2011-11-28,185.167,5.458,4.25,5.083,0.833,0.167,190.625
2011-11-29,182.375,5.458,5.5,6.125,0.625,0.542,187.833
2011-11-30,181.696,6.696,4.458,5.25,0.792,0.542,188.391
2011-12-01,186.333,5.917,5.583,6.0,0.417,0.542,192.25
2011-12-02,187.667,5.958,4.375,4.542,0.167,0.0,193.625
2011-12-03,184.87,5.217,3.043,3.304,0.261,0.13,190.087
2011-12-04,189.875,5.708,3.083,3.167,0.083,1.25,195.583
2011-12-05,190.417,6.583,6.583,7.0,0.417,1.083,197.0
2011-12-06,189.25,6.917,4.958,5.375,0.417,1.167,196.167
2011-12-07,185.609,7.174,5.667,6.583,0.917,0.625,192.783
2011-12-08,189.083,7.75,5.708,5.833,0.125,0.458,196.833
2011-12-09,189.208,4.958,3.125,3.333,0.208,0.5,194.167
2011-12-10,189.792,4.875,2.625,2.625,0.0,0.0,194.667
2011-12-11,190.125,5.458,3.0,3.042,0.042,0.542,195.583
2011-12-12,189.167,6.042,5.0,5.542,0.542,1.708,195.208
2011-12-13,187.917,6.0,5.167,5.708,0.542,1.292,193.917
2011-12-14,187.348,6.174,4.375,4.708,0.333,1.583,193.522
2011-12-15,190.0,5.917,4.667,4.75,0.083,0.875,195.917
2011-12-16,191.75,4.875,3.25,3.25,0.0,0.875,196.625
2011-12-17,190.059,4.824,3.714,3.952,0.238,1.4,194.882
2011-12-18,190.667,4.75,3.25,3.458,0.208,0.833,195.417
2011-12-19,190.042,4.667,3.25,3.5,0.25,1.5,194.708
2011-12-20,189.208,5.417,4.583,5.333,0.75,1.583,194.625
2011-12-21,189.478,5.957,5.417,5.958,0.542,2.042,195.435
